schoolnr,from,to,connected,from_id,to_id,dyad_id,sex_from,sex_to,sex_similarity
10a,3,19,0,10a_19,10a_3,10a_3_19,1,0,0
10a,4,19,0,10a_19,10a_4,10a_4_19,0,0,1
10a,5,19,0,10a_19,10a_5,10a_5_19,1,0,0
10a,6,19,0,10a_19,10a_6,10a_6_19,0,0,1
10a,7,19,0,10a_19,10a_7,10a_7_19,1,0,0
10a,8,19,0,10a_19,10a_8,10a_8_19,1,0,0
10a,9,19,0,10a_19,10a_9,10a_9_19,1,0,0
10a,10,19,0,10a_19,10a_10,10a_10_19,0,0,1
10a,11,19,0,10a_19,10a_11,10a_11_19,0,0,1
10a,12,19,0,10a_19,10a_12,10a_12_19,1,0,0
10a,13,19,0,10a_19,10a_13,10a_13_19,1,0,0
10a,14,19,0,10a_19,10a_14,10a_14_19,1,0,0
10a,15,19,0,10a_19,10a_15,10a_15_19,1,0,0
10a,16,19,0,10a_19,10a_16,10a_16_19,1,0,0
10a,17,19,0,10a_19,10a_17,10a_17_19,0,0,1
10a,18,19,0,10a_19,10a_18,10a_18_19,0,0,1
10a,20,19,0,10a_19,10a_20,10a_19_20,0,0,1
10a,1,20,0,10a_20,10a_1,10a_1_20,1,0,0
10a,2,20,0,10a_20,10a_2,10a_2_20,0,0,1
10a,3,20,0,10a_20,10a_3,10a_3_20,1,0,0
10a,4,20,0,10a_20,10a_4,10a_4_20,0,0,1
10a,5,20,0,10a_20,10a_5,10a_5_20,1,0,0
10a,7,20,0,10a_20,10a_7,10a_7_20,1,0,0
10a,8,20,0,10a_20,10a_8,10a_8_20,1,0,0
10a,9,20,0,10a_20,10a_9,10a_9_20,1,0,0
10a,10,20,0,10a_20,10a_10,10a_10_20,0,0,1
10a,11,20,0,10a_20,10a_11,10a_11_20,0,0,1
10a,12,20,0,10a_20,10a_12,10a_12_20,1,0,0
10a,13,20,0,10a_20,10a_13,10a_13_20,1,0,0
10a,14,20,0,10a_20,10a_14,10a_14_20,1,0,0
10a,15,20,0,10a_20,10a_15,10a_15_20,1,0,0
10a,16,20,0,10a_20,10a_16,10a_16_20,1,0,0
10a,17,20,0,10a_20,10a_17,10a_17_20,0,0,1
10a,18,20,0,10a_20,10a_18,10a_18_20,0,0,1
12b,1,12,1,12b_12,12b_1,12b_1_12,0,0,1
12b,2,10,1,12b_10,12b_2,12b_2_10,0,0,1
12b,3,2,1,12b_2,12b_3,12b_2_3,0,0,1
12b,4,18,1,12b_18,12b_4,12b_4_18,1,1,1
12b,5,14,1,12b_14,12b_5,12b_5_14,1,1,1
12b,6,15,1,12b_15,12b_6,12b_6_15,0,0,1
12b,7,2,1,12b_2,12b_7,12b_2_7,0,0,1
12b,8,10,1,12b_10,12b_8,12b_8_10,0,0,1
12b,9,24,1,12b_24,12b_9,12b_9_24,0,0,1
12b,10,8,1,12b_8,12b_10,12b_8_10,0,0,1
12b,11,21,1,12b_21,12b_11,12b_11_21,0,0,1
12b,12,1,1,12b_1,12b_12,12b_1_12,0,0,1
12b,13,26,1,12b_26,12b_13,12b_13_26,1,1,1
12b,14,23,1,12b_23,12b_14,12b_14_23,1,1,1
12b,16,25,1,12b_25,12b_16,12b_16_25,1,1,1
12b,17,22,1,12b_22,12b_17,12b_17_22,0,0,1
12b,18,4,1,12b_4,12b_18,12b_4_18,1,1,1
12b,19,20,1,12b_20,12b_19,12b_19_20,0,0,1
12b,20,22,1,12b_22,12b_20,12b_20_22,0,0,1
12b,21,11,1,12b_11,12b_21,12b_11_21,0,0,1
12b,22,17,1,12b_17,12b_22,12b_17_22,0,0,1
12b,23,4,1,12b_4,12b_23,12b_4_23,1,1,1
12b,24,6,1,12b_6,12b_24,12b_6_24,0,0,1
12b,25,16,1,12b_16,12b_25,12b_16_25,1,1,1
12b,26,13,1,12b_13,12b_26,12b_13_26,1,1,1
12b,1,3,1,12b_3,12b_1,12b_1_3,0,0,1
12b,2,7,1,12b_7,12b_2,12b_2_7,0,0,1
12b,3,6,1,12b_6,12b_3,12b_3_6,0,0,1
12b,4,23,1,12b_23,12b_4,12b_4_23,1,1,1
12b,5,16,1,12b_16,12b_5,12b_5_16,1,1,1
12b,6,3,1,12b_3,12b_6,12b_3_6,0,0,1
12b,7,3,1,12b_3,12b_7,12b_3_7,0,0,1
12b,8,4,1,12b_4,12b_8,12b_4_8,0,1,0
12b,9,15,1,12b_15,12b_9,12b_9_15,0,0,1
12b,10,2,1,12b_2,12b_10,12b_2_10,0,0,1
12b,11,17,1,12b_17,12b_11,12b_11_17,0,0,1
12b,12,3,1,12b_3,12b_12,12b_3_12,0,0,1
12b,13,4,1,12b_4,12b_13,12b_4_13,1,1,1
12b,14,18,1,12b_18,12b_14,12b_14_18,1,1,1
12b,18,23,1,12b_23,12b_18,12b_18_23,1,1,1
12b,19,22,1,12b_22,12b_19,12b_19_22,0,0,1
12b,20,19,1,12b_19,12b_20,12b_19_20,0,0,1
12b,22,19,1,12b_19,12b_22,12b_19_22,0,0,1
12b,23,8,1,12b_8,12b_23,12b_8_23,1,0,0
12b,24,2,1,12b_2,12b_24,12b_2_24,0,0,1
12b,25,14,1,12b_14,12b_25,12b_14_25,1,1,1
12b,2,1,0,12b_1,12b_2,12b_1_2,0,0,1
12b,3,1,0,12b_1,12b_3,12b_1_3,0,0,1
12b,4,1,0,12b_1,12b_4,12b_1_4,1,0,0
12b,5,1,0,12b_1,12b_5,12b_1_5,1,0,0
12b,6,1,0,12b_1,12b_6,12b_1_6,0,0,1
12b,7,1,0,12b_1,12b_7,12b_1_7,0,0,1
12b,8,1,0,12b_1,12b_8,12b_1_8,0,0,1
12b,9,1,0,12b_1,12b_9,12b_1_9,0,0,1
12b,10,1,0,12b_1,12b_10,12b_1_10,0,0,1
12b,11,1,0,12b_1,12b_11,12b_1_11,0,0,1
12b,13,1,0,12b_1,12b_13,12b_1_13,1,0,0
12b,14,1,0,12b_1,12b_14,12b_1_14,1,0,0
12b,15,1,0,12b_1,12b_15,12b_1_15,0,0,1
12b,16,1,0,12b_1,12b_16,12b_1_16,1,0,0
12b,17,1,0,12b_1,12b_17,12b_1_17,0,0,1
12b,18,1,0,12b_1,12b_18,12b_1_18,1,0,0
12b,19,1,0,12b_1,12b_19,12b_1_19,0,0,1
12b,20,1,0,12b_1,12b_20,12b_1_20,0,0,1
12b,21,1,0,12b_1,12b_21,12b_1_21,0,0,1
12b,22,1,0,12b_1,12b_22,12b_1_22,0,0,1
12b,23,1,0,12b_1,12b_23,12b_1_23,1,0,0
12b,24,1,0,12b_1,12b_24,12b_1_24,0,0,1
12b,25,1,0,12b_1,12b_25,12b_1_25,1,0,0
12b,26,1,0,12b_1,12b_26,12b_1_26,1,0,0
12b,1,2,0,12b_2,12b_1,12b_1_2,0,0,1
12b,4,2,0,12b_2,12b_4,12b_2_4,1,0,0
12b,5,2,0,12b_2,12b_5,12b_2_5,1,0,0
12b,6,2,0,12b_2,12b_6,12b_2_6,0,0,1
12b,8,2,0,12b_2,12b_8,12b_2_8,0,0,1
12b,9,2,0,12b_2,12b_9,12b_2_9,0,0,1
12b,11,2,0,12b_2,12b_11,12b_2_11,0,0,1
12b,12,2,0,12b_2,12b_12,12b_2_12,0,0,1
12b,13,2,0,12b_2,12b_13,12b_2_13,1,0,0
12b,14,2,0,12b_2,12b_14,12b_2_14,1,0,0
12b,15,2,0,12b_2,12b_15,12b_2_15,0,0,1
12b,16,2,0,12b_2,12b_16,12b_2_16,1,0,0
12b,17,2,0,12b_2,12b_17,12b_2_17,0,0,1
12b,18,2,0,12b_2,12b_18,12b_2_18,1,0,0
12b,19,2,0,12b_2,12b_19,12b_2_19,0,0,1
12b,20,2,0,12b_2,12b_20,12b_2_20,0,0,1
12b,21,2,0,12b_2,12b_21,12b_2_21,0,0,1
12b,22,2,0,12b_2,12b_22,12b_2_22,0,0,1
12b,23,2,0,12b_2,12b_23,12b_2_23,1,0,0
12b,25,2,0,12b_2,12b_25,12b_2_25,1,0,0
12b,26,2,0,12b_2,12b_26,12b_2_26,1,0,0
12b,2,3,0,12b_3,12b_2,12b_2_3,0,0,1
12b,4,3,0,12b_3,12b_4,12b_3_4,1,0,0
12b,5,3,0,12b_3,12b_5,12b_3_5,1,0,0
12b,8,3,0,12b_3,12b_8,12b_3_8,0,0,1
12b,9,3,0,12b_3,12b_9,12b_3_9,0,0,1
12b,10,3,0,12b_3,12b_10,12b_3_10,0,0,1
12b,11,3,0,12b_3,12b_11,12b_3_11,0,0,1
12b,13,3,0,12b_3,12b_13,12b_3_13,1,0,0
12b,14,3,0,12b_3,12b_14,12b_3_14,1,0,0
12b,15,3,0,12b_3,12b_15,12b_3_15,0,0,1
12b,16,3,0,12b_3,12b_16,12b_3_16,1,0,0
12b,17,3,0,12b_3,12b_17,12b_3_17,0,0,1
12b,18,3,0,12b_3,12b_18,12b_3_18,1,0,0
12b,19,3,0,12b_3,12b_19,12b_3_19,0,0,1
12b,20,3,0,12b_3,12b_20,12b_3_20,0,0,1
12b,21,3,0,12b_3,12b_21,12b_3_21,0,0,1
12b,22,3,0,12b_3,12b_22,12b_3_22,0,0,1
12b,23,3,0,12b_3,12b_23,12b_3_23,1,0,0
12b,24,3,0,12b_3,12b_24,12b_3_24,0,0,1
12b,25,3,0,12b_3,12b_25,12b_3_25,1,0,0
12b,26,3,0,12b_3,12b_26,12b_3_26,1,0,0
12b,1,4,0,12b_4,12b_1,12b_1_4,0,1,0
12b,2,4,0,12b_4,12b_2,12b_2_4,0,1,0
12b,3,4,0,12b_4,12b_3,12b_3_4,0,1,0
12b,5,4,0,12b_4,12b_5,12b_4_5,1,1,1
12b,6,4,0,12b_4,12b_6,12b_4_6,0,1,0
12b,7,4,0,12b_4,12b_7,12b_4_7,0,1,0
12b,9,4,0,12b_4,12b_9,12b_4_9,0,1,0
12b,10,4,0,12b_4,12b_10,12b_4_10,0,1,0
12b,11,4,0,12b_4,12b_11,12b_4_11,0,1,0
12b,12,4,0,12b_4,12b_12,12b_4_12,0,1,0
12b,14,4,0,12b_4,12b_14,12b_4_14,1,1,1
12b,15,4,0,12b_4,12b_15,12b_4_15,0,1,0
12b,16,4,0,12b_4,12b_16,12b_4_16,1,1,1
12b,17,4,0,12b_4,12b_17,12b_4_17,0,1,0
12b,19,4,0,12b_4,12b_19,12b_4_19,0,1,0
12b,20,4,0,12b_4,12b_20,12b_4_20,0,1,0
12b,21,4,0,12b_4,12b_21,12b_4_21,0,1,0
12b,22,4,0,12b_4,12b_22,12b_4_22,0,1,0
12b,24,4,0,12b_4,12b_24,12b_4_24,0,1,0
12b,25,4,0,12b_4,12b_25,12b_4_25,1,1,1
12b,26,4,0,12b_4,12b_26,12b_4_26,1,1,1
12b,1,5,0,12b_5,12b_1,12b_1_5,0,1,0
12b,2,5,0,12b_5,12b_2,12b_2_5,0,1,0
12b,3,5,0,12b_5,12b_3,12b_3_5,0,1,0
12b,4,5,0,12b_5,12b_4,12b_4_5,1,1,1
12b,6,5,0,12b_5,12b_6,12b_5_6,0,1,0
12b,7,5,0,12b_5,12b_7,12b_5_7,0,1,0
12b,8,5,0,12b_5,12b_8,12b_5_8,0,1,0
12b,9,5,0,12b_5,12b_9,12b_5_9,0,1,0
12b,10,5,0,12b_5,12b_10,12b_5_10,0,1,0
12b,11,5,0,12b_5,12b_11,12b_5_11,0,1,0
12b,12,5,0,12b_5,12b_12,12b_5_12,0,1,0
12b,13,5,0,12b_5,12b_13,12b_5_13,1,1,1
12b,14,5,0,12b_5,12b_14,12b_5_14,1,1,1
12b,15,5,0,12b_5,12b_15,12b_5_15,0,1,0
12b,16,5,0,12b_5,12b_16,12b_5_16,1,1,1
12b,17,5,0,12b_5,12b_17,12b_5_17,0,1,0
12b,18,5,0,12b_5,12b_18,12b_5_18,1,1,1
12b,19,5,0,12b_5,12b_19,12b_5_19,0,1,0
12b,20,5,0,12b_5,12b_20,12b_5_20,0,1,0
12b,21,5,0,12b_5,12b_21,12b_5_21,0,1,0
12b,22,5,0,12b_5,12b_22,12b_5_22,0,1,0
12b,23,5,0,12b_5,12b_23,12b_5_23,1,1,1
12b,24,5,0,12b_5,12b_24,12b_5_24,0,1,0
12b,25,5,0,12b_5,12b_25,12b_5_25,1,1,1
12b,26,5,0,12b_5,12b_26,12b_5_26,1,1,1
12b,1,6,0,12b_6,12b_1,12b_1_6,0,0,1
12b,2,6,0,12b_6,12b_2,12b_2_6,0,0,1
12b,4,6,0,12b_6,12b_4,12b_4_6,1,0,0
12b,5,6,0,12b_6,12b_5,12b_5_6,1,0,0
12b,7,6,0,12b_6,12b_7,12b_6_7,0,0,1
12b,8,6,0,12b_6,12b_8,12b_6_8,0,0,1
12b,9,6,0,12b_6,12b_9,12b_6_9,0,0,1
12b,10,6,0,12b_6,12b_10,12b_6_10,0,0,1
12b,11,6,0,12b_6,12b_11,12b_6_11,0,0,1
12b,12,6,0,12b_6,12b_12,12b_6_12,0,0,1
12b,13,6,0,12b_6,12b_13,12b_6_13,1,0,0
12b,14,6,0,12b_6,12b_14,12b_6_14,1,0,0
12b,15,6,0,12b_6,12b_15,12b_6_15,0,0,1
12b,16,6,0,12b_6,12b_16,12b_6_16,1,0,0
12b,17,6,0,12b_6,12b_17,12b_6_17,0,0,1
12b,18,6,0,12b_6,12b_18,12b_6_18,1,0,0
12b,19,6,0,12b_6,12b_19,12b_6_19,0,0,1
12b,20,6,0,12b_6,12b_20,12b_6_20,0,0,1
12b,21,6,0,12b_6,12b_21,12b_6_21,0,0,1
12b,22,6,0,12b_6,12b_22,12b_6_22,0,0,1
12b,23,6,0,12b_6,12b_23,12b_6_23,1,0,0
12b,25,6,0,12b_6,12b_25,12b_6_25,1,0,0
12b,26,6,0,12b_6,12b_26,12b_6_26,1,0,0
12b,1,7,0,12b_7,12b_1,12b_1_7,0,0,1
12b,3,7,0,12b_7,12b_3,12b_3_7,0,0,1
12b,4,7,0,12b_7,12b_4,12b_4_7,1,0,0
12b,5,7,0,12b_7,12b_5,12b_5_7,1,0,0
12b,6,7,0,12b_7,12b_6,12b_6_7,0,0,1
12b,8,7,0,12b_7,12b_8,12b_7_8,0,0,1
12b,9,7,0,12b_7,12b_9,12b_7_9,0,0,1
12b,10,7,0,12b_7,12b_10,12b_7_10,0,0,1
12b,11,7,0,12b_7,12b_11,12b_7_11,0,0,1
12b,12,7,0,12b_7,12b_12,12b_7_12,0,0,1
12b,13,7,0,12b_7,12b_13,12b_7_13,1,0,0
12b,14,7,0,12b_7,12b_14,12b_7_14,1,0,0
12b,15,7,0,12b_7,12b_15,12b_7_15,0,0,1
12b,16,7,0,12b_7,12b_16,12b_7_16,1,0,0
12b,17,7,0,12b_7,12b_17,12b_7_17,0,0,1
12b,18,7,0,12b_7,12b_18,12b_7_18,1,0,0
12b,19,7,0,12b_7,12b_19,12b_7_19,0,0,1
12b,20,7,0,12b_7,12b_20,12b_7_20,0,0,1
12b,21,7,0,12b_7,12b_21,12b_7_21,0,0,1
12b,22,7,0,12b_7,12b_22,12b_7_22,0,0,1
12b,23,7,0,12b_7,12b_23,12b_7_23,1,0,0
12b,24,7,0,12b_7,12b_24,12b_7_24,0,0,1
12b,25,7,0,12b_7,12b_25,12b_7_25,1,0,0
12b,26,7,0,12b_7,12b_26,12b_7_26,1,0,0
12b,1,8,0,12b_8,12b_1,12b_1_8,0,0,1
12b,2,8,0,12b_8,12b_2,12b_2_8,0,0,1
12b,3,8,0,12b_8,12b_3,12b_3_8,0,0,1
12b,4,8,0,12b_8,12b_4,12b_4_8,1,0,0
12b,5,8,0,12b_8,12b_5,12b_5_8,1,0,0
12b,6,8,0,12b_8,12b_6,12b_6_8,0,0,1
12b,7,8,0,12b_8,12b_7,12b_7_8,0,0,1
12b,9,8,0,12b_8,12b_9,12b_8_9,0,0,1
12b,11,8,0,12b_8,12b_11,12b_8_11,0,0,1
12b,12,8,0,12b_8,12b_12,12b_8_12,0,0,1
12b,13,8,0,12b_8,12b_13,12b_8_13,1,0,0
12b,14,8,0,12b_8,12b_14,12b_8_14,1,0,0
12b,15,8,0,12b_8,12b_15,12b_8_15,0,0,1
12b,16,8,0,12b_8,12b_16,12b_8_16,1,0,0
12b,17,8,0,12b_8,12b_17,12b_8_17,0,0,1
12b,18,8,0,12b_8,12b_18,12b_8_18,1,0,0
12b,19,8,0,12b_8,12b_19,12b_8_19,0,0,1
12b,20,8,0,12b_8,12b_20,12b_8_20,0,0,1
12b,21,8,0,12b_8,12b_21,12b_8_21,0,0,1
12b,22,8,0,12b_8,12b_22,12b_8_22,0,0,1
12b,24,8,0,12b_8,12b_24,12b_8_24,0,0,1
12b,25,8,0,12b_8,12b_25,12b_8_25,1,0,0
12b,26,8,0,12b_8,12b_26,12b_8_26,1,0,0
12b,1,9,0,12b_9,12b_1,12b_1_9,0,0,1
12b,2,9,0,12b_9,12b_2,12b_2_9,0,0,1
12b,3,9,0,12b_9,12b_3,12b_3_9,0,0,1
12b,4,9,0,12b_9,12b_4,12b_4_9,1,0,0
12b,5,9,0,12b_9,12b_5,12b_5_9,1,0,0
12b,6,9,0,12b_9,12b_6,12b_6_9,0,0,1
12b,7,9,0,12b_9,12b_7,12b_7_9,0,0,1
12b,8,9,0,12b_9,12b_8,12b_8_9,0,0,1
12b,10,9,0,12b_9,12b_10,12b_9_10,0,0,1
12b,11,9,0,12b_9,12b_11,12b_9_11,0,0,1
12b,12,9,0,12b_9,12b_12,12b_9_12,0,0,1
12b,13,9,0,12b_9,12b_13,12b_9_13,1,0,0
12b,14,9,0,12b_9,12b_14,12b_9_14,1,0,0
12b,15,9,0,12b_9,12b_15,12b_9_15,0,0,1
12b,16,9,0,12b_9,12b_16,12b_9_16,1,0,0
12b,17,9,0,12b_9,12b_17,12b_9_17,0,0,1
12b,18,9,0,12b_9,12b_18,12b_9_18,1,0,0
12b,19,9,0,12b_9,12b_19,12b_9_19,0,0,1
12b,20,9,0,12b_9,12b_20,12b_9_20,0,0,1
12b,21,9,0,12b_9,12b_21,12b_9_21,0,0,1
12b,22,9,0,12b_9,12b_22,12b_9_22,0,0,1
12b,23,9,0,12b_9,12b_23,12b_9_23,1,0,0
12b,24,9,0,12b_9,12b_24,12b_9_24,0,0,1
12b,25,9,0,12b_9,12b_25,12b_9_25,1,0,0
12b,26,9,0,12b_9,12b_26,12b_9_26,1,0,0
12b,1,10,0,12b_10,12b_1,12b_1_10,0,0,1
12b,3,10,0,12b_10,12b_3,12b_3_10,0,0,1
12b,4,10,0,12b_10,12b_4,12b_4_10,1,0,0
12b,5,10,0,12b_10,12b_5,12b_5_10,1,0,0
12b,6,10,0,12b_10,12b_6,12b_6_10,0,0,1
12b,7,10,0,12b_10,12b_7,12b_7_10,0,0,1
12b,9,10,0,12b_10,12b_9,12b_9_10,0,0,1
12b,11,10,0,12b_10,12b_11,12b_10_11,0,0,1
12b,12,10,0,12b_10,12b_12,12b_10_12,0,0,1
12b,13,10,0,12b_10,12b_13,12b_10_13,1,0,0
12b,14,10,0,12b_10,12b_14,12b_10_14,1,0,0
12b,15,10,0,12b_10,12b_15,12b_10_15,0,0,1
12b,16,10,0,12b_10,12b_16,12b_10_16,1,0,0
12b,17,10,0,12b_10,12b_17,12b_10_17,0,0,1
12b,18,10,0,12b_10,12b_18,12b_10_18,1,0,0
12b,19,10,0,12b_10,12b_19,12b_10_19,0,0,1
12b,20,10,0,12b_10,12b_20,12b_10_20,0,0,1
12b,21,10,0,12b_10,12b_21,12b_10_21,0,0,1
12b,22,10,0,12b_10,12b_22,12b_10_22,0,0,1
12b,23,10,0,12b_10,12b_23,12b_10_23,1,0,0
12b,24,10,0,12b_10,12b_24,12b_10_24,0,0,1
12b,25,10,0,12b_10,12b_25,12b_10_25,1,0,0
12b,26,10,0,12b_10,12b_26,12b_10_26,1,0,0
12b,1,11,0,12b_11,12b_1,12b_1_11,0,0,1
12b,2,11,0,12b_11,12b_2,12b_2_11,0,0,1
12b,3,11,0,12b_11,12b_3,12b_3_11,0,0,1
12b,4,11,0,12b_11,12b_4,12b_4_11,1,0,0
12b,5,11,0,12b_11,12b_5,12b_5_11,1,0,0
12b,6,11,0,12b_11,12b_6,12b_6_11,0,0,1
12b,7,11,0,12b_11,12b_7,12b_7_11,0,0,1
12b,8,11,0,12b_11,12b_8,12b_8_11,0,0,1
12b,9,11,0,12b_11,12b_9,12b_9_11,0,0,1
12b,10,11,0,12b_11,12b_10,12b_10_11,0,0,1
12b,12,11,0,12b_11,12b_12,12b_11_12,0,0,1
12b,13,11,0,12b_11,12b_13,12b_11_13,1,0,0
12b,14,11,0,12b_11,12b_14,12b_11_14,1,0,0
12b,15,11,0,12b_11,12b_15,12b_11_15,0,0,1
12b,16,11,0,12b_11,12b_16,12b_11_16,1,0,0
12b,17,11,0,12b_11,12b_17,12b_11_17,0,0,1
12b,18,11,0,12b_11,12b_18,12b_11_18,1,0,0
12b,19,11,0,12b_11,12b_19,12b_11_19,0,0,1
12b,20,11,0,12b_11,12b_20,12b_11_20,0,0,1
12b,22,11,0,12b_11,12b_22,12b_11_22,0,0,1
12b,23,11,0,12b_11,12b_23,12b_11_23,1,0,0
12b,24,11,0,12b_11,12b_24,12b_11_24,0,0,1
12b,25,11,0,12b_11,12b_25,12b_11_25,1,0,0
12b,26,11,0,12b_11,12b_26,12b_11_26,1,0,0
12b,2,12,0,12b_12,12b_2,12b_2_12,0,0,1
12b,3,12,0,12b_12,12b_3,12b_3_12,0,0,1
12b,4,12,0,12b_12,12b_4,12b_4_12,1,0,0
12b,5,12,0,12b_12,12b_5,12b_5_12,1,0,0
12b,6,12,0,12b_12,12b_6,12b_6_12,0,0,1
12b,7,12,0,12b_12,12b_7,12b_7_12,0,0,1
12b,8,12,0,12b_12,12b_8,12b_8_12,0,0,1
12b,9,12,0,12b_12,12b_9,12b_9_12,0,0,1
12b,10,12,0,12b_12,12b_10,12b_10_12,0,0,1
12b,11,12,0,12b_12,12b_11,12b_11_12,0,0,1
12b,13,12,0,12b_12,12b_13,12b_12_13,1,0,0
12b,14,12,0,12b_12,12b_14,12b_12_14,1,0,0
12b,15,12,0,12b_12,12b_15,12b_12_15,0,0,1
12b,16,12,0,12b_12,12b_16,12b_12_16,1,0,0
12b,17,12,0,12b_12,12b_17,12b_12_17,0,0,1
12b,18,12,0,12b_12,12b_18,12b_12_18,1,0,0
